ticker,name,market_cap,price,sector,market
MMGR.B,Momentum Group AB (publ),7.49B,150.60,Unknown,OMX Stockholm
ZZ.B,Zinzino AB (publ),7.36B,203.00,Unknown,OMX Stockholm
SDIP.B,Sdiptech AB (publ),7.20B,189.40,Unknown,OMX Stockholm
MILDEF,MilDef Group AB (publ),7.04B,149.40,Unknown,OMX Stockholm
INTRUM,Intrum AB (publ),7.04B,52.46,Unknown,OMX Stockholm
FAG,Fagerhult Group AB,7.03B,40.30,Unknown,OMX Stockholm
VBG.B,VBG Group AB (publ),7.00B,280.20,Unknown,OMX Stockholm
EMIL.B,Fastighetsbolaget Emilshus AB (publ),6.97B,47.75,Unknown,OMX Stockholm
BAHN.B,Bahnhof AB (publ),6.92B,63.20,Unknown,OMX Stockholm
CS,CoinShares International Limited,6.91B,105.40,Unknown,OMX Stockholm
FOI.B,Fenix Outdoor International AG,6.87B,499.00,Unknown,OMX Stockholm
INSTAL,Instalco AB (publ),6.79B,25.22,Unknown,OMX Stockholm
GOTL.A,Rederiaktiebolaget Gotland (publ),6.68B,"2,640.00",Unknown,OMX Stockholm
STORY.B,Storytel AB (publ),6.63B,87.10,Unknown,OMX Stockholm
ENITY,Enity Holding AB (publ),6.58B,83.00,Unknown,OMX Stockholm
GOTL.B,Rederiaktiebolaget Gotland (publ),6.57B,"2,600.00",Unknown,OMX Stockholm
STEF.B,Stendörren Fastigheter AB (publ),6.52B,199.00,Unknown,OMX Stockholm
SCST,Scandi Standard AB (publ),6.48B,99.10,Unknown,OMX Stockholm
PLSVO,Paratus Energy Services Ltd.,6.28B,41.26,Unknown,OMX Stockholm
SECARE,Swedencare AB (publ),6.18B,38.65,Unknown,OMX Stockholm
NMAN,Nederman Holding AB (publ),6.01B,172.00,Unknown,OMX Stockholm
BOOZT,Boozt AB (publ),5.97B,96.50,Unknown,OMX Stockholm
SVOL.A,Svolder AB (publ),5.77B,79.00,Unknown,OMX Stockholm
SVOL.B,Svolder AB (publ),5.77B,55.20,Unknown,OMX Stockholm
RESURS,Resurs Holding AB (publ),5.70B,29.00,Unknown,OMX Stockholm
XVIVO,Xvivo Perfusion AB (publ),5.62B,177.70,Unknown,OMX Stockholm
VPLAY.B,Viaplay Group AB (publ),5.52B,1.215,Unknown,OMX Stockholm
NOTE,NOTE AB (publ),5.38B,193.10,Unknown,OMX Stockholm
ORES,Investment AB Öresund (publ),5.33B,119.00,Unknown,OMX Stockholm
ALLIGO.B,Alligo AB (publ),5.32B,106.20,Unknown,OMX Stockholm
HANZA,Hanza AB (publ),5.23B,114.00,Unknown,OMX Stockholm
SUS,Surgical Science Sweden AB (publ),5.10B,100.60,Unknown,OMX Stockholm
HEBA.B,Heba Fastighets AB (publ),5.10B,30.90,Unknown,OMX Stockholm
RVRC,RVRC Holding AB (publ),5.08B,47.60,Unknown,OMX Stockholm
VPLAY.A,Viaplay Group AB (publ),5.02B,2.080,Unknown,OMX Stockholm
NYAB,Nyab AB (publ),4.93B,7.20,Unknown,OMX Stockholm
MEKO,Meko AB (publ),4.87B,86.40,Unknown,OMX Stockholm
BHG,BHG Group AB (publ),4.81B,27.36,Unknown,OMX Stockholm
VER,Verve Group SE,4.73B,23.66,Unknown,OMX Stockholm
HTRO,Hexatronic Group AB (publ),4.73B,22.94,Unknown,OMX Stockholm
ENVIPO,Envipco Holding N.V.,4.64B,88.00,Unknown,OMX Stockholm
JOMA,John Mattson Fastighetsföretagen AB (publ),4.64B,60.80,Unknown,OMX Stockholm
COOR,Coor Service Management Holding AB,4.60B,48.46,Unknown,OMX Stockholm
EAST,Eastnine AB (publ),4.59B,47.10,Unknown,OMX Stockholm
LINC,Linc AB,4.57B,79.00,Unknown,OMX Stockholm
ITAB,ITAB Shop Concept AB (publ),4.57B,17.90,Unknown,OMX Stockholm
REJL.B,Rejlers AB (publ),4.50B,199.20,Unknown,OMX Stockholm
INT,Intellego Technologies AB,4.49B,149.20,Unknown,OMX Stockholm
MEDIO,Medistim ASA,4.48B,224.00,Unknown,OMX Stockholm
LIME,Lime Technologies AB (publ),4.41B,331.00,Unknown,OMX Stockholm
SNM,ShaMaran Petroleum Corp.,4.36B,1.602,Unknown,OMX Stockholm
HAYPP,Haypp Group AB (publ),4.35B,147.80,Unknown,OMX Stockholm
DUNI,Duni AB (publ),4.30B,91.50,Unknown,OMX Stockholm
EPEN,Ependion AB,4.17B,131.40,Unknown,OMX Stockholm
CEVI,CellaVision AB (publ),4.14B,173.60,Unknown,OMX Stockholm
IDUN.B,Idun Industrier AB (publ),4.05B,350.00,Unknown,OMX Stockholm
PRISMA,Prisma Properties AB (publ),4.04B,25.70,Unknown,OMX Stockholm
OVZON,Ovzon AB (publ),4.02B,36.00,Unknown,OMX Stockholm
SFAST,Stenhus Fastigheter i Norden AB (publ),3.99B,10.86,Unknown,OMX Stockholm
BONAV.A,Bonava AB (publ),3.94B,12.20,Unknown,OMX Stockholm
BONAV.B,Bonava AB (publ),3.94B,11.96,Unknown,OMX Stockholm
KFAST.B,K-Fast Holding AB (publ),3.92B,15.94,Unknown,OMX Stockholm
NIVI.B,Nivika Fastigheter AB (publ),3.92B,41.40,Unknown,OMX Stockholm
KCCO,Klaveness Combination Carriers ASA,3.88B,69.90,Unknown,OMX Stockholm
KAMBI,Kambi Group plc,3.85B,136.50,Unknown,OMX Stockholm
BRIN.B,Brinova Fastigheter AB (publ),3.79B,16.40,Unknown,OMX Stockholm
TRAC.B,AB Traction,3.79B,257.00,Unknown,OMX Stockholm
XANO.B,XANO Industri AB (publ),3.77B,62.50,Unknown,OMX Stockholm
BMAX,Byggmax Group AB (publ),3.54B,60.80,Unknown,OMX Stockholm
BTS.B,BTS Group AB (publ),3.53B,181.40,Unknown,OMX Stockholm
VESTUM,Vestum AB (publ),3.50B,9.36,Unknown,OMX Stockholm
